index,count_matched,matched_0,matched_1,matched_2,matched_3,matched_4,matched_5,matched_6,matched_7,matched_8,matched_9,matched_10,matched_11,matched_12,matched_13,matched_14,matched_15,matched_16,matched_17,matched_18,matched_19,matched_20,matched_21,matched_22,matched_23,matched_24,matched_25,matched_26,matched_27,matched_28,matched_29,matched_30,matched_31,matched_32,matched_33,matched_34,matched_35,matched_36,matched_37,matched_38,matched_39,matched_40,matched_41,matched_42,matched_43,matched_44,matched_45,adjacent_0,adjacent_1,adjacent_2,adjacent_3,adjacent_4,adjacent_5,belong_0,belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,belong_7,belong_8,belong_9,belong_10,belong_11,belong_12,belong_13,belong_14,belong_15,belong_16,belong_17,belong_18,belong_19,belong_20,belong_21,belong_22,belong_23,belong_24,belong_25,belong_26,belong_27,belong_28,belong_29,belong_30,belong_31,belong_32
r14897,5.0,DEBY_LOD2_4905773_a9d353fc-97e7-43fd-84bf-56e0b60f1e1b_2,DEBY_LOD2_4905775_9c71f0e0-3564-45ae-b9b5-c6e5cc22db40_2,DEBY_LOD2_4905777_0e1f11ba-3a1b-4293-985d-dc22a6343526_2,DEBY_LOD2_4905776_2778b695-f0d8-4014-ab2c-7fb57b9464e2_2,DEBY_LOD2_4905774_a60e770d-3d76-426e-8fd7-ce4e73564454_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_42364905_1ec87ac6-ac5f-469d-9250-49efac0e681e_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w278693166,1.0,DEBY_LOD2_4958542_9235dd8e-c84d-4aa2-a80c-202f8ea1239a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20841,1.0,DEBY_LOD2_4959476_04b7cb62-fe2b-4d53-96f8-ff2011a49887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20877,21.0,DEBY_LOD2_4958512_e8e5cbd1-cd70-4833-9396-79e6f5082135,DEBY_LOD2_4958535_5088bd25-ca63-4462-8c95-b170b3af4e72,DEBY_LOD2_4958516_549d27b7-8a82-4af7-a1b9-7b397f47c9f4,DEBY_LOD2_4958519_f688e7bb-e986-4b58-ad6c-45dbf0931944,DEBY_LOD2_4958513_f243f665-52dc-4cdd-8d2c-fd49ae94f8be,DEBY_LOD2_4958533_948ccda5-adcc-4cd9-8cdd-095ac1960a05_2,DEBY_LOD2_4958517_54ed7024-43b9-4070-99e5-42eb8f5c1f4b,DEBY_LOD2_4958540_3011de59-3f73-49f9-8a8b-b05b43f4f30e,DEBY_LOD2_4958518_d50d24fd-b686-407c-b98a-f9ddeaee5794,DEBY_LOD2_4958538_2a82b713-9d2b-4bc5-b2c6-e400ed1dd251_2,DEBY_LOD2_4958511_0dbd4383-7834-4df2-b853-ff442769107f,DEBY_LOD2_4958534_8b52492e-36b0-4723-a517-08d7decddc1c,DEBY_LOD2_4958515_a8e9d9ce-1c18-48f3-9433-1d285b3777f4,DEBY_LOD2_4958514_86daf34d-78da-4782-9293-c0a633dd516e,DEBY_LOD2_4958539_cf3813de-7791-4896-bfd3-28b3eaee6121_2,DEBY_LOD2_4959452_2f863d38-7c01-4c8a-a1e7-9096382d74bd,DEBY_LOD2_59969_0ea43931-9e6d-46cc-9c85-bd0c46570256,DEBY_LOD2_4959500_3c0105ab-67ad-4332-a188-b121dd9a13c1,DEBY_LOD2_4958536_7f76db74-ea15-47c9-9a70-c877d8f50be6,DEBY_LOD2_4959451_3d43e5b7-58f8-4fe6-9db9-db8b63390db2_2,DEBY_LOD2_4958537_f7fb3455-2597-4154-bb6f-6cdc2a0a51a5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w228719277,4.0,DEBY_LOD2_4958520_b346e6ad-505c-4a20-997e-67f28a00cf4b_2,DEBY_LOD2_4958523_9668536e-65c9-4e04-bf81-4862a8fd9cee_2,DEBY_LOD2_4958521_ef7dc2ef-4426-4c2c-9611-deac28b6bacc,DEBY_LOD2_4958524_99408662-bfdf-4534-99e9-4934aee80926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w228719293,1.0,DEBY_LOD2_4958522_030c9f8d-e5b7-4d25-9f1d-37c77031ab80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20948,25.0,DEBY_LOD2_4957802_16b2a67f-6ce1-4387-9166-330d8efc41e0_2,DEBY_LOD2_4957790_668980a3-b8ea-4a44-ac1d-605abb253a04,DEBY_LOD2_4957787_46cd1abc-84f8-4efb-864c-486508cc83b8,DEBY_LOD2_4957793_8ff9a62d-c383-4f24-97e8-6ec60325583f,DEBY_LOD2_4957794_640e7f93-3925-4822-af3b-0b5b175082f0,DEBY_LOD2_4957803_a2663cf1-4bfa-415e-8248-88e9ccccab96,DEBY_LOD2_4957798_1b4c7a17-1750-4c9c-851b-4a6dd09bb90f,DEBY_LOD2_4957796_68c5f5a7-e648-4b11-b09d-c8a97bbd2ba4,DEBY_LOD2_4957775_5badbcc9-8377-4604-916a-d7827d69e994,DEBY_LOD2_4957800_d98f0dee-64fe-471b-934f-fd9305d21293,DEBY_LOD2_4957792_f8f35feb-7353-4702-9e0d-636b1f92a4cf_2,DEBY_LOD2_4957797_c11ee8c1-1f02-4ea9-aa8d-25f6b0353522,DEBY_LOD2_4957789_92a15e64-63d3-478c-be9c-24147056e941,DEBY_LOD2_59859_d6a06009-8372-4b07-a723-766f306e2fcb,DEBY_LOD2_4957801_2e194d38-89b8-46b2-bed6-a38f92c5e648_2,DEBY_LOD2_4957795_7ae3713c-bc29-4faf-95fc-6f0949ec6bdc_2,DEBY_LOD2_4957784_3144d262-12b9-40f7-bd36-90eec22a2f36,DEBY_LOD2_4957799_a7476ba8-4185-4ab0-858b-dcf15d8abcb8_2,DEBY_LOD2_4957791_6c0d4311-e458-4be7-a369-8c3cd4c09c12_2,DEBY_LOD2_4957805_98f50421-eeac-4774-9a3b-d36250462c32_2,DEBY_LOD2_59860_a1e2f2fd-abe8-4fb3-83e0-b4d2078e052d,DEBY_LOD2_4957806_4666e28f-a6c3-44bb-a5f8-63313093bfc6,DEBY_LOD2_4957774_a34b0b4c-18c2-4ec8-bbfe-0672631e42fe,DEBY_LOD2_4957777_5697574f-a8e0-494a-8ca4-e0811098449f,DEBY_LOD2_4957804_b8115e56-abc1-465e-8f5e-be4106cae284_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w338648414,1.0,DEBY_LOD2_4958373_f76fcfdb-cd7c-465a-8836-be00839e21d5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w370023037,1.0,DEBY_LOD2_4958373_f76fcfdb-cd7c-465a-8836-be00839e21d5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w390600046,1.0,DEBY_LOD2_4958373_f76fcfdb-cd7c-465a-8836-be00839e21d5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
